T/s	S(T)/ms-2
7.3	0.58158983
7.31	0.580794222
7.32	0.580000787
7.33	0.579209517
7.34	0.578420403
7.35	0.577633437
7.36	0.576848609
7.37	0.57606591
7.38	0.575285333
7.39	0.574506869
7.4	0.573730508
7.41	0.572956243
7.42	0.572184065
7.43	0.571413965
7.44	0.570645935
7.45	0.569879968
7.46	0.569116054
7.47	0.568354185
7.48	0.567594353
7.49	0.56683655
7.5	0.566080768
7.51	0.565326999
7.52	0.564575234
7.53	0.563825466
7.54	0.563077687
7.55	0.562331889
7.56	0.561588063
7.57	0.560846203
7.58	0.560106301
7.59	0.559368348
7.6	0.558632337
7.61	0.55789826
7.62	0.55716611
7.63	0.556435879
7.64	0.55570756
7.65	0.554981145
7.66	0.554256627
7.67	0.553533997
7.68	0.55281325
7.69	0.552094377
7.7	0.551377371
7.71	0.550662226
7.72	0.549948933
7.73	0.549237485
7.74	0.548527876
7.75	0.547820098
7.76	0.547114144
7.77	0.546410008
7.78	0.545707681
7.79	0.545007158
7.8	0.544308431
7.81	0.543611493
7.82	0.542916338
7.83	0.542222958
7.84	0.541531347
7.85	0.540841498
7.86	0.540153405
7.87	0.53946706
7.88	0.538782457
7.89	0.538099589
7.9	0.537418451
7.91	0.536739034
7.92	0.536061333
7.93	0.535385342
7.94	0.534711053
7.95	0.53403846
7.96	0.533367558
7.97	0.532698339
7.98	0.532030797
7.99	0.531364926
8	0.53070072
8.01	0.530038172
8.02	0.529377277
8.03	0.528718027
8.04	0.528060418
8.05	0.527404442
8.06	0.526750094
8.07	0.526097368
8.08	0.525446257
8.09	0.524796756
8.1	0.524148859
8.11	0.52350256
8.12	0.522857852
8.13	0.522214731
8.14	0.521573189
8.15	0.520933222
8.16	0.520294824
8.17	0.519657988
8.18	0.519022709
8.19	0.518388982
8.2	0.5177568
8.21	0.517126158
8.22	0.516497051
8.23	0.515869473
8.24	0.515243417
8.25	0.51461888
8.26	0.513995855
8.27	0.513374336
8.28	0.512754319
8.29	0.512135797
8.3	0.511518766
8.31	0.51090322
8.32	0.510289154
8.33	0.509676562
8.34	0.509065439
8.35	0.50845578
8.36	0.507847579
8.37	0.507240832
8.38	0.506635532
8.39	0.506031676
8.4	0.505429257
8.41	0.504828271
8.42	0.504228713
8.43	0.503630577
8.44	0.503033858
8.45	0.502438551
8.46	0.501844652
8.47	0.501252156
8.48	0.500661057
8.49	0.50007135
8.5	0.499483031
8.51	0.498896094
8.52	0.498310535
8.53	0.497726349
8.54	0.497143532
8.55	0.496562077
8.56	0.495981981
8.57	0.495403239
8.58	0.494825846
8.59	0.494249797
8.6	0.493675088
8.61	0.493101714
8.62	0.492529671
8.63	0.491958952
8.64	0.491389556
8.65	0.490821475
8.66	0.490254707
8.67	0.489689246
8.68	0.489125088
8.69	0.488562228
8.7	0.488000662
8.71	0.487440386
8.72	0.486881394
8.73	0.486323684
8.74	0.485767249
8.75	0.485212087
8.76	0.484658192
8.77	0.48410556
8.78	0.483554187
8.79	0.483004068
8.8	0.4824552
8.81	0.481907578
8.82	0.481361197
8.83	0.480816054
8.84	0.480272145
8.85	0.479729464
8.86	0.479188009
8.87	0.478647775
8.88	0.478108757
8.89	0.477570952
8.9	0.477034355
8.91	0.476498963
8.92	0.475964771
8.93	0.475431776
8.94	0.474899973
8.95	0.474369359
8.96	0.473839929
8.97	0.473311679
8.98	0.472784606
8.99	0.472258705
9	0.471733973
9.01	0.471210406
9.02	0.470688
9.03	0.470166751
9.04	0.469646655
9.05	0.469127708
